Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation
56,"""What is the typical efficiency of a DC generator?""","""40-50%""","""50-60%""","""60-80%""","""85-90%""","""85-90%""","""DC generators typically have an efficiency ranging from 85-90% under optimal conditions."""
57,"""What is the main purpose of a circuit breaker?""","""To regulate voltage""","""To store electrical energy""","""To interrupt current flow in case of a fault""","""To measure current""","""To interrupt current flow in case of a fault""","""Circuit breakers protect electrical circuits by interrupting current flow during faults."""
58,"""What is the main use of a heat sink in electronic circuits?""","""To increase resistance""","""To provide insulation""","""To dissipate heat""","""To store energy""","""To dissipate heat""","""Heat sinks are used to dissipate excess heat generated by electronic components."""
59,"""What happens to the resistance of a conductor as its temperature increases?""","""It decreases""","""It increases""","""It remains constant""","""It becomes zero""","""It increases""","""For most conductors"
60,"""Which type of motor is generally used in household appliances?""","""Synchronous motor""","""DC motor""","""Universal motor""","""Induction motor""","""Universal motor""","""Universal motors are commonly used in household appliances due to their ability to operate on both AC and DC."""
61,"""What is the purpose of a fuse in an electrical circuit?""","""To measure current""","""To store energy""","""To provide resistance""","""To protect the circuit from overcurrent""","""To protect the circuit from overcurrent""","""A fuse is a safety device that interrupts the flow of current when it exceeds a certain level."""
62,"""What is the unit of inductance?""","""Ohm""","""Henry""","""Farad""","""Watt""","""Henry""","""The unit of inductance is the Henry (H)."""
63,"""What is the primary function of a rectifier?""","""To convert AC to DC""","""To store electrical energy""","""To amplify signals""","""To regulate voltage""","""To convert AC to DC""","""A rectifier converts alternating current (AC) to direct current (DC)."""
64,"""Which type of transformer is used to step up voltage?""","""Auto transformer""","""Step-up transformer""","""Step-down transformer""","""Isolation transformer""","""Step-up transformer""","""A step-up transformer increases the voltage from the primary to the secondary winding."""
65,"""What is the principle of operation of a transformer?""","""Electromagnetic induction""","""Electrostatic induction""","""Mutual capacitance""","""Magnetic hysteresis""","""Electromagnetic induction""","""Transformers operate on the principle of electromagnetic induction"
66,"""What happens to the current in a circuit if the voltage is doubled while the resistance remains the same?""","""It decreases""","""It increases""","""It remains constant""","""It becomes zero""","""It increases""","""According to Ohm's Law"
67,"""Which law states that the sum of the currents entering a junction is equal to the sum of the currents leaving the junction?""","""Ohm's Law""","""Kirchhoff's Current Law""","""Faraday's Law""","""Lenz's Law""","""Kirchhoff's Current Law""","""Kirchhoff's Current Law (KCL) states that the total current entering a junction equals the total current leaving."""
68,"""What type of wave is produced by an AC generator?""","""Square wave""","""Sine wave""","""Triangular wave""","""Sawtooth wave""","""Sine wave""","""An AC generator typically produces a sine wave output."""
69,"""What does a capacitor do in an electrical circuit?""","""Stores electrical energy""","""Provides resistance""","""Measures current""","""Amplifies signals""","""Stores electrical energy""","""A capacitor stores electrical energy in an electric field."""
70,"""What is the function of a step-down transformer?""","""To increase voltage""","""To decrease voltage""","""To store energy""","""To regulate current""","""To decrease voltage""","""A step-down transformer reduces the voltage from the primary to the secondary winding."""
71,"""Which device is used to convert mechanical energy into electrical energy?""","""Motor""","""Generator""","""Transformer""","""Capacitor""","""Generator""","""A generator converts mechanical energy into electrical energy."""
72,"""What is the purpose of using laminated cores in transformers?""","""To increase efficiency""","""To reduce eddy current losses""","""To store energy""","""To provide insulation""","""To reduce eddy current losses""","""Laminated cores are used to reduce eddy current losses in transformers."""
73,"""What is the main function of a fuse in an electrical circuit?""","""To regulate voltage""","""To interrupt current flow during overload""","""To store electrical energy""","""To provide resistance""","""To interrupt current flow during overload""","""A fuse protects circuits by interrupting current flow when it exceeds a safe level."""
74,"""What does a voltmeter measure?""","""Current""","""Resistance""","""Voltage""","""Power""","""Voltage""","""A voltmeter measures the potential difference (voltage) between two points in an electrical circuit."""
75,"""What is the unit of electrical power?""","""Watt""","""Volt""","""Ampere""","""Ohm""","""Watt""","""The unit of electrical power is the watt (W)."""
