Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer
15,निम्न में से कौन-सा राष्ट्रीय उद्यान राजस्थान राज्य में स्थित नहीं हैं?,केवलादेव राष्ट्रीय उद्यान,सरिस्का राष्ट्रीय उद्यान,सुल्तानपुर राष्ट्रीय उद्यान,घाना पक्षी राष्ट्रीय उद्यान,C
16,मस्तिष्क के कौन-से भाग रक्तदाब को नियंत्रित करता हैं?,पॉस,मेडुला,अनुमस्तिष्क,उपरोक्त सभी,B
17,अधोलिखित में से कौन-सा कथन सही हैं?,ऊर्जा एक सदिश राशि है।,जल प्रदूषण एक महत्वपूर्ण समस्या है।,ऊष्मीय ऊर्जा महत्वपूर्ण हैं।,वायु प्रदूषण का प्रभाव बहुत अधिक हैं。,D
18,भारत सरकार के संदर्भ में,सीमा प्रदर्शन से संबंधित कौन-सी एजेंसी जिम्मेदार हैं?,सैन्य बल,सीमा सुरक्षा बल,अर्धसैनिक बल,नागरिक प्रशासन
19,कौन-सा गामा विकिरण का एक प्रकार है?,आल्फा,बीटा,डेल्टा,पॉजिट्रॉन,G
20,हिमालय की श्रृंखलाओं में से कौन-सी पर्वत श्रृंखला सबसे पुरानी हैं?,ज़ंस्कर,लद्दाख,शिवालिक,ज़ांस्कर,D
21,भारत में किस राज्य को 'स्पाइस गार्डन' के नाम से जाना जाता हैं?,महाराष्ट्र,कर्नाटक,केरल,तमिलनाडु,C
22,पृथ्वी की सतह पर सबसे गहरा बिंदु कौन-सा है?,मरीआना ट्रेंच,गैलापागोस ट्रेंच,एंडीज,अटलांटिक ट्रेंच,A
23,भारत में 'ई-गवर्नेंस' किसके अंतर्गत आता हैं?,सूचना और प्रौद्योगिकी मंत्रालय,वित्त मंत्रालय,गृह मंत्रालय,शिक्षा मंत्रालय,A
24,अंतर्राष्ट्रीय बाल दिवस कब मनाया जाता हैं?,15 नवम्बर,20 नवंबर,10 अक्टूबर,1 दिसंबर,B
25,दुनिया की सबसे लंबी नदी कौन-सी हैं?,नील,अमेज़न,यांग्त्जे,मिसिसिपी,A
26,सौरमंडल के किस ग्रह का सबसे बड़ा चंद्रमा हैं?,सतर्न,मंगल,वृहस्पति,यूरेनस,C
27,भारत के किस क्षेत्र में डेल्टा का निर्माण हुआ हैं?,गंगा,यमुना,सिंधु,ब्रह्मपुत्र,A
28,विश्व की सबसे ऊँची पर्वत चोटी कौन-सी हैं?,एवरेस्ट,कैलाश,माउंट मकिंले,किलिमंजारो,A
29,पहले भारतीय उपग्रह 'आर्यभट्ट' को कब प्रक्षिप्त किया गया था?,1960,1970,1980,1990,B
30,निम्नलिखित में से कौन-सा वायुमंडल की परत हैं?,थर्मोस्फियर,मैग्नेटोस्फियर,पेलियोस्फियर,आयनोस्फियर,D
31,भारत के किस राज्य में 'वन्यजीव संरक्षण पार्क' स्थित हैं?,मध्य प्रदेश,उत्तर प्रदेश,सिक्किम,पंजाब,A
32,भारत में सबसे लंबी नदी कौन-सी हैं?,गंगा,यमुना,ब्रह्मपुत्र,सिंधु,A
33,सूरजमुखी का कौन-सा हिस्सा होता है?,पंखुड़ी,बीज,पत्ते,फल,B
34,भारत का सबसे बड़ा राज्य कौन-सा हैं?,राजस्थान,महाराष्ट्र,उत्तर प्रदेश,मध्य प्रदेश,A
35,किस धातु का उपयोग 'सोलर पैनल' में होता हैं?,सिलिकॉन,गैलियम,कॉपेर,सोन,D
36,वर्तमान में भारत के मुख्य न्यायाधीश कौन हैं?,एन.वी. रमना,डी.वाई. चंद्रचूड़,रंजन गोगोई,ए.एम. खानविलकर,B
37,भारत का सबसे बड़ा समुद्री बंदरगाह कौन-सा हैं?,मुंबई,कोच्चि,चेन्नई,विशाखापत्तनम,A
38,दुनिया का सबसे बड़ा रेगिस्तान कौन-सा हैं?,सहारा,अंटार्कटिका,मोहावी,कालाहारी,B
39,किस बौद्ध धर्म के संस्थापक ने 'महापरिनिर्वाण' प्राप्त किया?,गौतम बुद्ध,नागार्जुन,आचार्य चाणक्य,बुद्धघोṣा,A
40,भारत का सबसे गहरा झील कौन-सा हैं?,पेंच,वुलर,सातपुड़ा,चीलिका,B
41,दुनिया की सबसे बड़ी मानव निर्मित झील कौन-सी हैं?,बायकल,तालाब,दामोदर,हुगली,B
42,भारत के किस शहर को 'सिलिकॉन वैली' के नाम से जाना जाता हैं?,बंगलोर,हैदराबाद,मुंबई,दिल्ली,A
43,किस ग्रह की सतह पर सबसे ऊँची पर्वत चोटी हैं?,मंगल,पृथ्वी,शनि,यूरेनस,A
44,भारत में सबसे ज्यादा तेल किस राज्य में पाया जाता हैं?,गुजरात,असम,राजस्थान,आंध्र प्रदेश,B
45,संसार के सबसे ऊँचे जलप्रपात का नाम क्या हैं?,एंजेल,नायग्रा,इग्वासू,विक्टोरिया,A
46,भारत में पहला उपग्रह किस नाम से प्रक्षिप्त हुआ था?,आर्यभट्ट,ध्रुव,चंद्रयान,मंगलयान,A
47,समुद्र तल से सबसे ऊँचा पर्वत कौन-सा हैं?,माउंट एवरेस्ट,कंचनजंगा,माउंट मैकिनले,माउंट मोलान्जे,A
48,भारत में सबसे बड़ा बौद्ध स्थल कौन-सा हैं?,सारनाथ,धामेख स्तूप,सांची,अलापुर,B
49,पृथ्वी का सबसे बड़ा महासागर कौन-सा हैं?,प्रशांत,अटलांटिक,आर्कटिक,भारत,प्रशांत
50,भारत की सबसे बड़ी झील कौन-सी हैं?,वुलर,सतपुड़ा,चीलिका,सारोवर,A
51,कौन-सी धातु को 'सांदी' के रूप में जाना जाता हैं?,जस्ता,एल्यूमिनियम,सिल्वर,कॉपर,B
52,भारत में सबसे बड़ा उपनिवेश कौन-सा हैं?,दामोदर घाटी,संसार,चंद्रपुर,चोल साम्राज्य,A
53,कौन-सी तिथि को भारत का स्वतंत्रता दिवस मनाया जाता हैं?,15 अगस्त,26 जनवरी,2 अक्टूबर,14 नवंबर,A
54,निम्न में से कौन-सा पर्वत पर्वत श्रेणी का हिस्सा नहीं हैं?,हिमालय,अथास,अन्नपूर्णा,विंध्याचल,D
55,भारत में सबसे बड़ी झील का क्षेत्रफल कितना हैं?,2700 वर्ग किलोमीटर,8000 वर्ग किलोमीटर,5000 वर्ग किलोमीटर,3000 वर्ग किलोमीटर,B
56,भारत के सबसे बड़े कैनन की क्या लंबाई हैं?,165 किलोमीटर,150 किलोमीटर,140 किलोमीटर,120 किलोमीटर,A
57,निम्नलिखित में से कौन-सा पदार्थ सबसे अधिक कठिन हैं?,हीरा,सिल्वर,गोल्ड,प्लेटिनम,A
58,भारत में किस राज्य को 'वृक्षों का राज्य' कहा जाता हैं?,मिजोरम,सिक्किम,असम,मेघालय,A
59,भारत के किस प्रसिद्ध किले को 'लाल किला' के नाम से जाना जाता हैं?,दिल्ली किला,आगरा किला,गोलकुंडा किला,कुंभलगढ़ किला,A
60,पृथ्वी के वायुमंडल में सबसे अधिक गैस कौन-सी हैं?,नाइट्रोजन,ऑक्सीजन,आर्गन,हेलियम,A
61,भारत में पहला एटमी ऊर्जा संयंत्र कहाँ स्थापित किया गया था?,ट्रावनकोर,अलुवा,सूरत,धर्मशाला,A
62,वर्तमान में भारत का उपराष्ट्रपति कौन हैं?,वैंकया नायडू,राहुल गांधी,प्रणब मुखर्जी,सोनिया गांधी,A
63,विश्व का सबसे ऊँचा वॉटरफॉल कौन-सा हैं?,एंजेल वॉटरफॉल,नायग्रा वॉटरफॉल,इग्वासू वॉटरफॉल,विक्टोरिया वॉटरफॉल,A
64,भारत की सबसे लंबी नदी कौन-सी हैं?,गंगा,यमुना,ब्रह्मपुत्र,सिंधु,C
65,कौन-सी पर्वत श्रृंखला भारत और तिब्बत के बीच सीमा बनाती हैं?,हिमालय,सातपुड़ा,विंध्याचल,अरेबियन,A
66,भारत की सबसे ऊँची चोटी कौन-सी हैं?,माउंट एवरेस्ट,कंचनजंगा,नंदा देवी,माउंट मैकिनले,B
67,कौन-सा महाद्वीप सबसे गर्म हैं?,अफ्रीका,एशिया,अमेरिका,ऑस्ट्रेलिया,A
68,भारत के सबसे पुराने विश्वविद्यालय का नाम क्या हैं?,नालंदा विश्वविद्यालय,तक्षशिला विश्वविद्यालय,बीकानेर विश्वविद्यालय,कश्मीर विश्वविद्यालय,A
69,भारत में सबसे बड़ी जड़ी-बूटी की खेती कौन-सी हैं?,अलसी,लहसुन,जीरा,धनिया,B
70,कौन-सा भारतीय पक्षी 'रात का शिकार' के रूप में जाना जाता हैं?,उल्लू,कबूतर,गौरैया,फाख्ता,A
71,वर्तमान में भारत के प्रधानमंत्री कौन हैं?,नरेन्द्र मोदी,राजीव गांधी,मनमोहन सिंह,अटल बिहारी वाजपेयी,A
72,भारत का सबसे बड़ा अनुसंधान संस्थान कौन-सा हैं?,आईआईटी,आईआईएससी,एनआईटी,सीएसआईआर,B
73,भारत का सबसे बड़ा राज्य कौन-सा हैं?,राजस्थान,मध्य प्रदेश,उत्तर प्रदेश,गुजरात,A
74,निम्नलिखित में से कौन-सी नदी भारतीय उपमहाद्वीप की सबसे लंबी हैं?,गंगा,सिंधु,यमुना,ब्रह्मपुत्र,B
75,भारत के किस राज्य में 'धार्मिक स्थल' की सबसे बड़ी संख्या हैं?,उत्तर प्रदेश,मध्य प्रदेश,राजस्थान,गुजरात,A
76,भारत में सबसे बड़े मसाले का उत्पादन कौन-सा हैं?,काली मिर्च,जीरा,धनिया,हल्दी,A
77,संसार का सबसे बड़ा रेगिस्तान कौन-सा हैं?,सहारा,कालाहारी,अंटार्कटिका,मोहावी,C
78,भारत का सबसे बड़ा जलाशय कौन-सा हैं?,चीलिका झील,वुलर झील,सारोवर,सातपुड़ा,B
79,भारत में सबसे पुराना स्मारक कौन-सा हैं?,कुतुब मीनार,कुतुब मीनार,दिल्ली का लाल किला,आगरा का किला,A
80,भारत की सबसे ऊँची चोटी कौन-सी हैं?,माउंट एवरेस्ट,कंचनजंगा,नंदा देवी,सातपुड़ा,A
81,भारत में सबसे लंबी सड़क कौन-सी हैं?,एनएच 44,एनएच 48,एनएच 27,एनएच 65,A
82,भारत का सबसे बड़ा फुटबॉल स्टेडियम कौन-सा हैं?,सॉल्ट लेक स्टेडियम,जवाहरलाल नेहरू स्टेडियम,मयावति स्टेडियम,ब्रिगेड स्टेडियम,A
83,कौन-सी नदी 'गोल्डन नदी' के नाम से प्रसिद्ध हैं?,यमुना,गंगा,सतलज,ब्रह्मपुत्र,C
84,भारत का सबसे बड़ा पर्वत श्रृंखला कौन-सा हैं?,हिमालय,विंध्याचल,सातपुड़ा,अरावली,A
85,भारत के किस राज्य में 'तमिल' भाषा प्रमुख हैं?,तमिलनाडु,कर्नाटक,केरल,आंध्र प्रदेश,A
86,कौन-सा शहर भारत की फिल्म उद्योग का 'हब' हैं?,मुंबई,दिल्ली,कोलकाता,हैदराबाद,A
87,निम्नलिखित में से कौन-सा भारतीय वैज्ञानिक नोबेल पुरस्कार प्राप्त कर चुका हैं?,डॉ. एपीजे Abdul Kalam,डॉ. विक्रम सारभाई,डॉ. सी.वी. रमण,डॉ. जगदीश चंद्र बोस,C
88,भारत में सबसे ऊँचा समतल क्षेत्र कौन-सा हैं?,लेह-लद्दाख,कच्छ,सातपुड़ा,धारवाड़,A
89,भारत में सबसे बड़ा स्टील संयंत्र कौन-सा हैं?,टाटा स्टील,साल्वेस,बीएसएल,आरएसएम,A
90,भारत के सबसे बड़े चाय बागान कौन-से हैं?,असम,मिजोरम,कर्नाटक,सिक्किम,A
91,कौन-सी नदी 'सर्कस' के रूप में प्रसिद्ध हैं?,सिन्धु,गंगा,यमुना,ब्रह्मपुत्र,A
92,भारत के किस राज्य में 'प्राकृतिक सौंदर्य' का सबसे अच्छा उदाहरण हैं?,हिमाचल प्रदेश,राजस्थान,उतराखंड,गुजरात,A
93,निम्नलिखित में से कौन-सा भारतीय शहर 'सिल्क सिटी' के नाम से जाना जाता हैं?,सिल्चर,कोलकाता,मदुरै,धर्मशाला,A
94,भारत के किस राज्य में सबसे ज्यादा संतान मृत्यु दर हैं?,मध्य प्रदेश,उत्तर प्रदेश,बिहार,राजस्थान,B
95,कौन-सा पक्षी 'संध्याकाल' का प्रतीक हैं?,कोयल,पपीहा,उल्लू,चील,B
96,भारत में सबसे बड़ा स्टेडियम कौन-सा हैं?,फीफा विश्व कप स्टेडियम,सॉल्ट लेक स्टेडियम,जवाहरलाल नेहरू स्टेडियम,मैदान स्टेडियम,B
97,भारत की सबसे बड़ी झील कौन-सी हैं?,वुलर झील,चीलिका झील,सारोवर,सोनुली झील,B
98,कौन-सी उपमहाद्वीप का सबसे ऊँचा पर्वत चोटी हैं?,एवरेस्ट,माउंट कंचनजंगा,माउंट मैकिनले,माउंट फिजी,A
99,भारत का सबसे बड़ा निर्माण कार्य कौन-सा हैं?,भाखड़ा नंगल बांध,सोन नदी का बांध,नर्मदा बांध,तिनसुकिया बांध,A
100,भारत का सबसे बड़ा पुरातात्विक स्थल कौन-सा हैं?,हड़प्पा,मोहेंजोदारो,कालांगढ़,कुपवाड़ा,A
