Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer
Q56,What should you click to choose the date for sorting in Gmail?,The filter icon,The ‘1 Day’ dropdown menu,The calendar icon,The ‘Date within’ field,The ‘Date within’ field
Q57,In PPT What method can be used to move among slides if your hands are already on the keyboard?,Pressing the Esc key to exit the presentation,Scrolling with the mouse wheel,Clicking on the slide thumbnail in the Slides tab,Using the keyboard directional keys,Using the keyboard directional keys
Q58,Which of the following is an input device?,Monitor,Keyboard,Printer,Speaker,Keyboard
Q59,What is the keyboard shortcut for opening a blank new document in MS-Word?,Ctrl + B,Ctrl + S,Ctrl + C,Ctrl + N,Ctrl + N
Q60,In a spreadsheet,page orientation is changed through ___________.,paper dialog box,print dialog box,page setup dialog box,format dialogue box
Q61,Which of the following is the maximum file size that can be attached to an email message in Gmail?,25 MB,50 MB,100 MB,200 MB,25 MB
Q62,How does the CPU distinguish between each memory cell?,By its byte size,By its capacity,By its data item,By its address,By its address
Q63,In MS-Word,a document may be printed using ____________.,Ctrl+P,Ctrl+V,Ctrl+X,Ctrl+C
Q64,The process of merging data from a data source into a main document in a word-processing application is called:,data accumulation,data integration,mail merge,data concatenation,mail merge
Q65,Average function is listed in the drop-down menu of which of the following tools?,Move function,Auto Sum function,Financial function,Insert function,Auto Sum function
Q66,In MS-Word,a number printed above the baseline is called ___________.,superscript,strikethrough,subscript,above BL
Q67,Which of the following is an example of application software?,A programming language,A word processor,An operating system,A web browser,A word processor
Q68,Which of the following is NOT an alignment option for text in a cell?,Justified,Left,Center,Right,Justified
Q69,Which of the following represents the Two-Factor Authentication (2FA)?,The use of two different credentials to verify identity,A technique for organising files and folders on a PC,A tool for optimising system resources,A security measure to prevent physical damage to a PC,The use of two different credentials to verify identity
Q70,Application software includes a variety of programs that are designed to meet the information processing needs of _______________.,end users,programmers,customers,team leaders,end users
